"Title","Release Year","Genre","Content Rating","Runtime","Critic Rating","Audience Rating","Difference"
"Hotel Artemis","2018","Action & Adventure","R",93,58,35,23
"Hotel Mumbai","2019","Drama","R",125,76,86,-10
"Hotel Rwanda","2004","Drama","PG-13",121,91,94,-3
"Hotel Transylvania","2012","Animation","PG",95,45,72,-27
"Hotel Transylvania 2","2015","Animation","PG",89,56,64,-8
"Hotel Transylvania 3: Summer Vacation","2018","Animation","PG",97,62,48,14
"Hotel for Dogs","2009","Action & Adventure","PG",100,46,54,-8
"House of D","2004","Drama","PG-13",96,10,73,-63
"House of Flying Daggers","2004","Action & Adventure","PG-13",119,87,82,5
"House of Sand and Fog","2003","Drama","R",126,74,83,-9
"How Do You Know","2010","Comedy","PG-13",121,31,24,7
"How To Be Single","2016","Comedy","R",110,47,47,0
"How to Build a Girl","2020","Comedy","R",102,79,58,21
"How to Lose Friends & Alienate People","2008","Comedy","R",109,37,42,-5
"How to Lose a Guy in 10 Days","2003","Comedy","PG-13",116,42,77,-35
"How to Train Your Dragon","2010","Animation","PG",98,99,91,8
"How to Train Your Dragon 2","2014","Action & Adventure","PG",102,91,90,1
"How to Train Your Dragon: The Hidden World","2019","Action & Adventure","PG",104,90,86,4
"Howl","2010","Animation","R",84,63,58,5
"Howl's Moving Castle","2005","Animation","PG",119,87,93,-6
"Hulk","2003","Action & Adventure","PG-13",138,62,29,33
"Human Flow","2017","Documentary","PG-13",140,91,81,10
"Humpday","2009","Comedy","R",94,79,51,28
"Hunt for the Wilderpeople","2016","Action & Adventure","NR",101,96,91,5
"Hunter Killer","2018","Action & Adventure","R",121,36,69,-33
"Hustle & Flow","2005","Drama","R",115,83,83,0
"Hustlers","2019","Drama","R",110,87,65,22
"Hyde Park on Hudson","2012","Comedy","R",94,37,31,6
"Hysteria","2012","Comedy","R",99,59,54,5
"I Am Legend","2007","Action & Adventure","PG-13",101,68,68,0
"I Am Not Your Negro","2017","Documentary","PG-13",95,99,83,16
"I Am Number Four","2011","Action & Adventure","PG-13",110,33,57,-24
"I Am Sam","2001","Drama","PG-13",132,35,87,-52
"I Don't Know How She Does It","2011","Comedy","PG-13",91,17,32,-15
"I Dreamed of Africa","2000","Drama","PG-13",114,10,56,-46
"I Feel Pretty","2018","Comedy","PG-13",110,35,35,0
"I Heart Huckabees","2004","Comedy","R",106,63,75,-12
"I Love You Beth Cooper","2009","Comedy","PG-13",102,13,32,-19
"I Love You Phillip Morris","2010","Comedy","R",98,71,61,10
"I Love You, Man","2009","Comedy","R",105,83,74,9
"I Now Pronounce You Chuck & Larry","2007","Comedy","PG-13",115,15,69,-54
"I Origins","2014","Drama","R",117,52,69,-17
"I Saw the Light","2016","Drama","R",123,18,36,-18
"I Spy","2002","Action & Adventure","PG-13",96,16,33,-17
"I Think I Love My Wife","2007","Comedy","R",94,19,41,-22
"I'm Not There","2007","Drama","R",135,77,69,8
"I'm So Excited!","2013","Comedy","R",89,49,37,12
"I'm Still Here","2010","Documentary","R",108,53,38,15
"I, Frankenstein","2014","Horror","PG-13",93,5,38,-33
"I, Robot","2004","Action & Adventure","PG-13",115,56,70,-14
"I, Tonya","2018","Drama","R",121,89,88,1
"Ice Age","2002","Animation","PG",81,77,82,-5
"Ice Age 2: The Meltdown","2006","Action & Adventure","PG",91,56,71,-15
"Ice Age: Collision Course","2016","Animation","PG",94,18,39,-21
"Ice Age: Continental Drift","2012","Action & Adventure","PG",87,37,62,-25
"Ice Age: Dawn of the Dinosaurs (Ice Age 3)","2009","Action & Adventure","PG",94,46,62,-16
"Ice Princess","2005","Comedy","G",98,52,58,-6
"Ida","2014","Drama","PG-13",80,96,79,17
"Identity","2003","Horror","R",90,62,75,-13
"Identity Thief","2013","Comedy","R",106,19,53,-34
"Idlewild","2006","Drama","R",121,47,66,-19
"If I Stay","2014","Drama","PG-13",106,35,61,-26
"Igby Goes Down","2002","Comedy","R",104,76,80,-4
"Imagine That","2009","Comedy","PG",107,40,40,0
"Immortals","2011","Action & Adventure","R",110,46,48,-2
"In America","2003","Comedy","PG-13",103,89,91,-2
"In Bruges","2008","Comedy","R",107,84,87,-3
"In Darkness","2012","Drama","R",145,88,80,8
"In Fabric","2019","Comedy","R",118,92,47,45
"In Good Company","2004","Comedy","PG-13",110,83,54,29
"In Her Shoes","2005","Comedy","PG-13",129,75,66,9
"In a World...","2013","Comedy","R",93,92,71,21
"In the Cut","2003","Drama","R",118,32,34,-2
"In the Heart of the Sea","2015","Action & Adventure","PG-13",116,43,53,-10
"In the Land of Women","2007","Comedy","PG-13",100,44,52,-8
"In the Shadow of the Moon","2007","Documentary","PG",100,95,91,4
"In the Valley of Elah","2007","Drama","R",121,74,77,-3
"Incendies","2011","Drama","R",130,93,92,1
"Inception","2010","Action & Adventure","PG-13",148,87,91,-4
"Incredibles 2","2018","Action & Adventure","PG",118,93,84,9
"Independence Day: Resurgence","2016","Action & Adventure","PG-13",120,30,30,0
"Indiana Jones and the Kingdom of the Crystal Skull","2008","Action & Adventure","PG-13",122,78,54,24
"Indignation","2016","Drama","R",110,81,74,7
"Infamous","2006","Drama","R",118,74,69,5
"Infinitely Polar Bear","2015","Comedy","R",87,82,71,11
"Inglourious Basterds","2009","Action & Adventure","R",152,89,88,1
"Ingrid Goes West","2017","Comedy","R",98,86,71,15
"Inherent Vice","2015","Drama","R",148,74,52,22
"Inkheart","2009","Action & Adventure","PG",105,39,45,-6
"Inside Deep Throat","2005","Documentary","NC17",90,82,67,15
"Inside Job","2010","Documentary","PG-13",108,98,91,7
"Inside Llewyn Davis","2013","Drama","R",104,92,74,18
"Inside Man","2006","Action & Adventure","R",129,86,85,1
"Inside Out","2015","Animation","PG",95,98,89,9
"Insidious","2011","Horror","PG-13",101,66,62,4
"Insidious: Chapter 2","2013","Horror","PG-13",105,39,57,-18
"Insidious: Chapter 3","2015","Horror","PG-13",97,57,51,6
"Insidious: The Last Key","2018","Horror","PG-13",103,33,51,-18
"Insomnia","2002","Drama","R",118,92,77,15
"Instant Family","2018","Comedy","PG-13",119,80,82,-2
"Insurgent","2015","Action & Adventure","PG-13",118,28,58,-30
"Interstellar","2014","Action & Adventure","PG-13",165,72,86,-14
"Into The Abyss","2011","Documentary","PG-13",107,92,76,16
"Into the Blue","2005","Action & Adventure","PG-13",110,21,57,-36
"Into the Wild","2007","Action & Adventure","R",147,83,89,-6
"Intolerable Cruelty","2003","Comedy","PG-13",100,75,48,27
"Invictus","2009","Drama","PG-13",134,77,75,2
"Iris","2001","Drama","R",90,79,73,6
"Iron Man","2008","Action & Adventure","PG-13",126,94,91,3
"Iron Man 2","2010","Action & Adventure","PG-13",124,72,71,1
"Iron Man 3","2013","Action & Adventure","PG-13",130,79,78,1
"Irrational Man","2015","Drama","R",94,47,46,1
"Is Anybody There?","2009","Comedy","PG-13",92,65,55,10
"Isle of Dogs","2018","Action & Adventure","PG-13",101,90,87,3
"Isn't It Romantic","2019","Comedy","PG-13",88,70,47,23
"It Chapter Two","2019","Horror","R",169,63,78,-15
"It Comes At Night","2017","Drama","R",97,87,44,43
"It Follows","2015","Horror","R",101,95,66,29
"It Might Get Loud","2009","Documentary","PG",97,79,85,-6
"It's Complicated","2009","Comedy","R",120,58,60,-2
"It's Kind of a Funny Story","2010","Comedy","PG-13",100,57,66,-9
"JCVD (Van Dammage)","2008","Action & Adventure","R",96,84,74,10
"Jack Goes Boating","2010","Comedy","R",90,68,48,20
"Jack Reacher","2012","Drama","PG-13",130,64,67,-3
"Jack Ryan: Shadow Recruit","2014","Action & Adventure","PG-13",105,54,53,1
"Jack and Jill","2011","Comedy","PG",90,3,36,-33
"Jack the Giant Slayer","2013","Action & Adventure","PG-13",113,52,55,-3
"Jackass 3","2010","Action & Adventure","R",94,65,69,-4
"Jackass Presents: Bad Grandpa","2013","Comedy","R",92,61,60,1
"Jackass: Number Two","2006","Comedy","R",92,63,80,-17
"Jackie","2016","Drama","R",99,87,60,27
"Jarhead","2005","Drama","R",123,61,68,-7
"Jason Bourne","2016","Action & Adventure","PG-13",123,54,55,-1
"Jason X","2002","Horror","R",92,20,25,-5
"Jay and Silent Bob Strike Back","2001","Comedy","R",104,52,75,-23
"Jeepers Creepers","2001","Horror","R",89,46,48,-2
"Jeepers Creepers 2","2003","Horror","R",104,24,37,-13
"Jeff Who Lives at Home","2012","Comedy","R",83,77,62,15
"Jennifer's Body","2009","Comedy","R",101,45,34,11
"Jersey Girl","2004","Comedy","PG-13",97,42,48,-6
"Jesus Camp","2006","Documentary","PG-13",87,87,80,7
"Jet Li's Fearless (Huo Yuan Jia) (Legend of a Fighter)","2006","Action & Adventure","PG-13",103,73,86,-13
"Joan Rivers: A Piece Of Work","2010","Comedy","R",84,92,82,10
"Jobs","2013","Drama","PG-13",125,28,40,-12
"Jodorowsky's Dune","2014","Documentary","PG-13",88,97,89,8
"John Carpenter's Ghosts of Mars","2001","Action & Adventure","R",97,21,24,-3
"John Carter","2012","Action & Adventure","PG-13",132,52,60,-8
"John Q","2002","Drama","PG-13",118,23,78,-55
"John Wick","2014","Action & Adventure","R",101,87,81,6
"John Wick: Chapter 2","2017","Action & Adventure","R",122,89,85,4
"John Wick: Chapter 3 - Parabellum","2019","Action & Adventure","R",131,90,86,4
"Johnny English","2003","Comedy","PG",86,33,50,-17
"Joker","2019","Action & Adventure","R",122,68,88,-20
"Jonah Hex","2010","Action & Adventure","PG-13",81,12,20,-8
"Josie and the Pussycats","2001","Comedy","PG-13",98,53,52,1
"Journey 2: The Mysterious Island","2012","Action & Adventure","PG",94,45,59,-14
"Journey's End","2018","Drama","R",107,92,72,20
"Joy","2015","Drama","PG-13",123,61,57,4
"Joyful Noise","2012","Comedy","PG-13",117,32,65,-33
"Judy","2019","Drama","PG-13",118,82,85,-3
"Judy & Punch","2020","Drama","NR",105,77,60,17
"Julie & Julia","2009","Comedy","PG-13",124,77,70,7
"Juliet, Naked","2018","Comedy","R",105,83,74,9
"Jumanji: The Next Level","2019","Action & Adventure","PG-13",123,72,87,-15
"Jumanji: Welcome to the Jungle","2017","Action & Adventure","PG-13",119,76,87,-11
"Jumper","2008","Action & Adventure","PG-13",88,15,44,-29
"Juno","2007","Comedy","PG-13",96,94,88,6
"Jupiter Ascending","2015","Action & Adventure","PG-13",127,27,38,-11
"Jurassic Park III","2001","Action & Adventure","PG-13",91,49,36,13
"Jurassic World","2015","Action & Adventure","PG-13",124,70,78,-8
"Jurassic World: Fallen Kingdom","2018","Action & Adventure","PG-13",128,47,48,-1
"Just Go with It","2011","Comedy","PG-13",115,19,59,-40
"Just Like Heaven","2005","Comedy","PG-13",95,55,75,-20
"Just Mercy","2020","Drama","PG-13",136,84,99,-15
"Just My Luck","2006","Comedy","PG-13",103,14,48,-34
"Just Wright","2010","Comedy","PG",101,46,61,-15
"Justice League","2017","Action & Adventure","PG-13",119,40,71,-31
"Justin Bieber: Never Say Never","2011","Documentary","G",105,65,65,0
"K-19: The Widowmaker","2002","Action & Adventure","PG-13",138,61,52,9
"K-PAX","2001","Comedy","PG-13",120,42,75,-33
"Kaboom","2011","Comedy","NR",86,60,41,19
"Kangaroo Jack","2003","Action & Adventure","PG",89,8,29,-21
"Kate & Leopold","2001","Comedy","PG-13",121,50,62,-12
"Keanu","2016","Action & Adventure","R",100,77,55,22
"Kedi","2017","Documentary","NR",80,98,85,13
"Keeping Up With The Joneses","2016","Comedy","PG-13",100,20,37,-17
"Kick-Ass","2010","Action & Adventure","R",117,76,81,-5
"Kick-Ass 2","2013","Action & Adventure","R",103,32,57,-25
"Kicking & Screaming","2005","Comedy","PG",94,41,43,-2
"Kill Bill: Volume 1","2003","Action & Adventure","R",110,85,81,4
"Kill Bill: Volume 2","2004","Action & Adventure","R",137,84,89,-5
"Kill Your Darlings","2013","Drama","R",102,77,60,17
"Kill the Messenger","2014","Drama","R",112,77,69,8
"Killer Elite","2011","Action & Adventure","R",117,27,42,-15
"Killer Joe","2012","Comedy","R",101,79,61,18
"Killers","2010","Action & Adventure","PG-13",100,10,41,-31
"Killing Them Softly","2012","Comedy","R",97,73,44,29
"King Arthur","2004","Action & Adventure","PG-13",126,31,59,-28
"King Arthur: Legend Of The Sword","2017","Action & Adventure","PG-13",126,30,69,-39
"Kingdom of Heaven","2005","Action & Adventure","R",145,39,72,-33
"Kingsman: The Golden Circle","2017","Action & Adventure","R",141,51,64,-13
"Kinky Boots","2006","Comedy","PG-13",107,56,74,-18
"Kinsey","2004","Drama","R",118,90,75,15
"Kiss Kiss, Bang Bang","2005","Comedy","R",102,86,87,-1
"Kiss of the Dragon","2001","Action & Adventure","R",97,52,68,-16
"Kissing Jessica Stein","2002","Comedy","R",94,83,65,18
"Kit Kittredge: An American Girl","2008","Comedy","G",100,80,69,11
"Knight & Day","2010","Action & Adventure","PG-13",109,52,49,3
"Knight of Cups","2016","Drama","R",118,47,37,10
"Knives Out","2019","Drama","PG-13",130,97,92,5
"Knock Down the House","2019","Documentary","PG",86,99,20,79
"Knockaround Guys","2002","Action & Adventure","R",87,21,51,-30
"Knocked Up","2007","Comedy","R",129,90,83,7
"Knowing","2009","Drama","PG-13",115,33,42,-9
"Kong: Skull Island","2017","Action & Adventure","PG-13",118,75,69,6
"Kubo and the Two Strings","2016","Action & Adventure","PG",102,97,86,11
"Kumiko, the Treasure Hunter","2015","Drama","NR",104,88,62,26
"Kung Fu Hustle","2005","Action & Adventure","R",99,90,89,1
"Kung Fu Panda","2008","Action & Adventure","PG",91,87,83,4
"Kung Fu Panda 2","2011","Action & Adventure","PG",90,81,74,7
"Kung Fu Panda 3","2016","Animation","PG",95,87,78,9
"La La Land","2016","Comedy","PG-13",128,91,81,10
"Labor Day","2014","Drama","PG-13",111,35,54,-19
"Ladder 49","2004","Action & Adventure","PG-13",114,41,81,-40
"Lady Bird","2017","Comedy","R",94,99,79,20
"Lady in the Water","2006","Drama","PG-13",110,25,49,-24
"Laggies","2014","Drama","R",100,65,50,15
"Lakeview Terrace","2008","Drama","PG-13",106,44,39,5
"Land of the Dead","2005","Action & Adventure","R",93,74,51,23
"Land of the Lost","2009","Action & Adventure","PG-13",102,26,32,-6
"Landline","2017","Comedy","R",93,74,64,10
"Lantana","2002","Drama","R",121,90,82,8
"Lara Croft - Tomb Raider","2001","Action & Adventure","PG-13",100,20,47,-27
"Lara Croft Tomb Raider - The Cradle of Life","2003","Action & Adventure","PG-13",118,24,44,-20
"Larry Crowne","2011","Comedy","PG-13",98,37,41,-4
"Lars and the Real Girl","2007","Comedy","PG-13",107,81,84,-3
"Last Chance Harvey","2009","Drama","PG-13",92,71,53,18
"Last Days","2005","Drama","R",96,58,50,8
"Last Flag Flying","2017","Comedy","R",124,78,71,7
"Last Vegas","2013","Comedy","PG-13",104,46,59,-13
"Law Abiding Citizen","2009","Drama","R",108,26,75,-49
"Lawless","2012","Drama","R",115,66,74,-8
"Laws of Attraction","2004","Comedy","PG-13",89,18,47,-29
"Layer Cake","2005","Action & Adventure","R",105,80,84,-4
"Le Divorce","2003","Comedy","PG-13",117,36,26,10
"Le Week-End","2014","Drama","R",93,89,56,33
"Le passé (The Past)","2013","Drama","PG-13",130,93,83,10
"Lean on Pete","2018","Drama","R",122,90,74,16
"Leap Year","2010","Comedy","PG",100,23,47,-24
"Leatherheads","2008","Comedy","PG-13",114,51,38,13
"Leave No Trace","2018","Drama","PG",108,100,81,19
"Lee Daniels' The Butler","2013","Drama","PG-13",132,72,78,-6
"Legally Blonde","2001","Comedy","PG-13",96,70,72,-2
"Legally Blonde 2 - Red, White & Blonde","2003","Comedy","PG-13",94,37,43,-6
"Legend of the Guardians: The Owls of Ga'Hoole","2010","Action & Adventure","PG",91,52,63,-11
"Legion","2010","Action & Adventure","R",104,19,31,-12
"Lemony Snicket's A Series of Unfortunate Events","2004","Action & Adventure","PG",107,72,63,9
"Les Misérables","2012","Drama","PG-13",158,69,79,-10
"Let Me In","2010","Drama","R",115,88,76,12
"Letters from Iwo Jima","2006","Drama","R",141,91,86,5
"Letters to Juliet","2010","Comedy","PG",105,42,62,-20
"Leviathan","2014","Drama","NR",142,98,80,18
"Liberal Arts","2012","Comedy","PG-13",97,71,60,11
"License to Wed","2007","Comedy","PG-13",91,7,53,-46
"Life During Wartime","2010","Comedy","R",98,68,48,20
"Life Itself","2014","Documentary","R",120,98,88,10
"Life as We Know It","2010","Comedy","PG-13",113,29,61,-32
"Life as a House","2001","Drama","R",124,47,88,-41
"Life of Pi","2012","Action & Adventure","PG",125,87,84,3
"Life of the Party","2018","Comedy","PG-13",105,38,39,-1
"Life or Something Like It","2002","Comedy","PG-13",103,28,44,-16
"Life, Animated","2016","Documentary","PG",91,94,81,13
"Lights Out","2016","Horror","PG-13",77,76,61,15
"Like Crazy","2011","Drama","PG-13",89,72,61,11
"Like Father, Like Son","2014","Drama","NR",120,87,89,-2
"Lilo & Stitch","2002","Action & Adventure","PG",85,86,77,9
"Lincoln","2012","Drama","PG-13",149,89,81,8
"Lion","2016","Drama","PG-13",121,84,91,-7
"Lions for Lambs","2007","Drama","R",92,27,47,-20
"Listen Up Philip","2014","Drama","NR",109,82,54,28
"Little","2019","Comedy","PG-13",109,46,60,-14
"Little Black Book","2004","Comedy","PG-13",106,22,37,-15
"Little Children","2006","Comedy","R",130,80,82,-2
"Little Fockers","2010","Comedy","PG-13",97,9,34,-25
"Little Joe","2019","Drama","NR",105,68,42,26
"Little Miss Sunshine","2006","Comedy","R",102,91,91,0
"Little Nicky","2000","Comedy","PG-13",90,22,56,-34
"Live By Night","2017","Drama","R",129,35,41,-6
"Live Die Repeat: Edge of Tomorrow","2014","Drama","PG-13",113,91,90,1
"Live Free or Die Hard","2007","Action & Adventure","PG-13",129,82,86,-4
"Lizzie","2018","Drama","R",105,66,48,18
"Lo and Behold, Reveries of the Connected World","2016","Documentary","PG-13",98,93,67,26
"Locke","2014","Drama","R",84,91,72,19
"Lockout","2012","Action & Adventure","PG-13",95,38,46,-8
"Logan","2017","Action & Adventure","R",137,93,90,3
"Logan Lucky","2017","Comedy","PG-13",119,92,76,16
"London Has Fallen","2016","Action & Adventure","R",99,28,51,-23
"Lone Survivor","2014","Action & Adventure","R",121,75,87,-12
"Long Shot","2019","Comedy","R",123,81,74,7
"Looking for Comedy in the Muslim World","2006","Comedy","PG-13",99,42,27,15
"Looney Tunes: Back in Action","2003","Animation","PG",91,56,50,6
"Looper","2012","Action & Adventure","R",119,93,82,11
"Lord of War","2005","Action & Adventure","R",122,61,84,-23
"Lords of Dogtown","2005","Action & Adventure","PG-13",106,55,81,-26
"Lost In Translation","2003","Comedy","R",102,95,85,10
"Lost in La Mancha","2003","Documentary","R",92,94,77,17
"Louder Than Bombs","2016","Drama","R",109,73,52,21
"Love & Friendship","2016","Comedy","PG",93,97,60,37
"Love & Mercy","2015","Drama","PG-13",120,89,85,4
"Love Actually","2003","Comedy","R",135,64,72,-8
"Love Happens","2009","Drama","PG-13",109,16,37,-21
"Love Is All You Need","2013","Comedy","R",116,75,59,16
"Love Is Strange","2014","Drama","R",94,93,66,27
"Love and Other Drugs","2010","Comedy","R",112,49,53,-4
"Love in the Time of Cholera","2007","Drama","R",138,26,45,-19
"Love the Coopers","2015","Comedy","PG-13",107,18,36,-18
"Love, Simon","2018","Drama","PG-13",110,91,88,3
"Lovelace","2013","Drama","R",93,53,36,17
"Loving","2016","Drama","PG-13",123,89,76,13
"Loving Vincent","2017","Animation","PG-13",95,85,86,-1
"Luce","2019","Drama","R",109,90,77,13
"Lucky Number Slevin","2006","Drama","R",110,52,87,-35
"Lucky You","2007","Drama","PG-13",124,29,28,1
"Lucy","2014","Action & Adventure","R",88,67,47,20
"Lucy in the Sky","2019","Drama","R",124,21,31,-10
"Lust, Caution","2007","Drama","NC17",155,72,84,-12
"Lymelife","2008","Drama","R",95,63,52,11
"MacGruber","2010","Action & Adventure","R",90,48,35,13
"Machete","2010","Action & Adventure","R",104,72,63,9
"Machete Kills","2013","Action & Adventure","R",107,29,35,-6
"Machine Gun Preacher","2011","Action & Adventure","R",127,27,62,-35
"Mad Hot Ballroom","2005","Documentary","PG",115,84,83,1
"Mad Max: Fury Road","2015","Action & Adventure","R",120,97,85,12
"Mad Money","2008","Comedy","PG-13",103,22,48,-26
"Madagascar","2005","Animation","PG",86,54,70,-16
"Madagascar 3: Europe's Most Wanted","2012","Action & Adventure","PG",85,78,72,6
"Madagascar: Escape 2 Africa","2008","Action & Adventure","PG",88,64,66,-2
"Made","2001","Action & Adventure","R",94,71,67,4
"Made in Dagenham","2010","Drama","R",113,80,75,5
"Made of Honor","2008","Comedy","PG-13",101,15,55,-40
"Madeline's Madeline","2018","Drama","NR",94,88,44,44
"Maggie","2015","Drama","PG-13",94,60,32,28
"Maggie's Plan","2016","Comedy","R",98,87,52,35
"Magic Mike","2012","Comedy","R",110,79,60,19
"Magic Mike XXL","2015","Comedy","R",115,65,55,10
"Magic in the Moonlight","2014","Comedy","PG-13",97,51,45,6
"Maid in Manhattan","2002","Comedy","PG-13",105,38,43,-5
"Maiden","2019","Documentary","PG",93,98,97,1
"Maleficent: Mistress of Evil","2019","Action & Adventure","PG",118,40,95,-55
"Mamma Mia!","2008","Comedy","PG-13",109,55,66,-11
"Mamma Mia! Here We Go Again","2018","Comedy","PG-13",114,79,66,13
"Man of Steel","2013","Action & Adventure","PG-13",143,56,75,-19
"Man of the Year","2006","Comedy","PG",115,22,45,-23
"Man on Fire","2004","Action & Adventure","R",145,38,89,-51
"Man on Wire","2008","Documentary","PG-13",90,100,87,13
"Man on a Ledge","2012","Drama","PG-13",102,32,52,-20
"Manchester by the Sea","2016","Drama","R",137,96,78,18
"Mandela: Long Walk to Freedom","2013","Drama","PG-13",146,61,68,-7
"Manderlay","2006","Drama","NR",139,50,75,-25
"Mandy","2018","Action & Adventure","NR",121,91,66,25
"Maps to the Stars","2015","Comedy","R",112,61,44,17
"March of the Penguins","2005","Documentary","G",80,94,81,13
"Marianne & Leonard: Words of Love","2019","Documentary","R",97,79,85,-6
"Marie Antoinette","2006","Documentary","PG-13",123,57,56,1
"Mark Felt: The Man Who Brought Down the White House","2017","Drama","PG-13",103,35,40,-5
"Marley","2012","Documentary","PG-13",144,95,90,5
"Marley & Me","2008","Comedy","PG",116,62,75,-13
"Marmaduke","2010","Comedy","PG",88,9,42,-33
"Marriage Story","2019","Drama","R",136,94,85,9
"Married Life","2008","Comedy","PG-13",90,54,36,18
"Mars Needs Moms","2011","Action & Adventure","PG",88,37,40,-3
"Marshall","2017","Drama","PG-13",118,81,84,-3
"Martha Marcy May Marlene","2011","Drama","R",101,90,71,19
"Martian Child","2007","Comedy","PG",106,35,72,-37
"Marvel's The Avengers","2012","Action & Adventure","PG-13",143,92,91,1
"Mary Magdalene","2019","Drama","R",120,44,47,-3
"Mary Queen of Scots","2018","Drama","R",124,62,41,21
"Mary Shelley","2018","Drama","PG-13",120,38,47,-9
"Master and Commander: The Far Side of the World","2003","Action & Adventure","PG-13",139,85,80,5
"Match Point","2005","Drama","R",124,77,81,-4
"Matchstick Men","2003","Comedy","PG-13",116,82,74,8
"Max","2002","Drama","R",109,69,64,5
"Max Payne","2008","Action & Adventure","PG-13",99,16,29,-13
"Maze Runner: The Death Cure","2018","Action & Adventure","PG-13",142,43,59,-16
"Maze Runner: The Scorch Trials","2015","Action & Adventure","PG-13",131,46,54,-8
"McFarland USA","2015","Drama","PG",129,81,88,-7
"McQueen","2018","Documentary","NR",111,99,79,20
"Me Before You","2016","Drama","PG-13",110,54,73,-19
"Me and Earl and the Dying Girl","2015","Drama","PG-13",105,81,86,-5
"Mean Creek","2004","Drama","R",89,89,82,7
"Mean Girls","2004","Comedy","PG-13",97,84,66,18
"Meek's Cutoff","2011","Drama","PG",101,86,54,32
"Meet Dave","2008","Comedy","PG",90,20,35,-15
"Meet the Fockers","2004","Comedy","PG-13",115,39,58,-19
"Meet the Parents","2000","Comedy","PG-13",108,84,79,5
"Meet the Robinsons","2007","Action & Adventure","G",94,67,74,-7
"Megamind","2010","Action & Adventure","PG",96,72,72,0
"Megan Leavey","2017","Drama","PG-13",116,87,82,5
"Melinda and Melinda","2005","Comedy","PG-13",100,52,47,5
"Memento","2000","Drama","R",116,93,94,-1
"Memoirs of a Geisha","2005","Drama","PG-13",136,35,83,-48
"Men in Black II","2002","Comedy","PG-13",88,39,45,-6
"Men in Black III","2012","Action & Adventure","PG-13",104,68,70,-2
"Men in Black International","2019","Action & Adventure","PG-13",115,23,66,-43
"Men of Honor","2000","Drama","R",129,42,81,-39
"Men, Women & Children","2014","Comedy","R",119,34,44,-10
"Menashe","2017","Drama","PG",82,96,65,31
"Metallica: Some Kind of Monster","2004","Documentary","R",140,89,83,6
"Miami Vice","2006","Action & Adventure","R",135,47,43,4
"Michael Clayton","2007","Drama","R",120,91,69,22
"Michael Jackson's This Is It","2009","Documentary","PG",111,81,82,-1
"Mid90s","2018","Comedy","R",84,80,80,0
"Midnight Special","2016","Drama","PG-13",111,84,67,17
"Midnight in Paris","2011","Comedy","PG-13",94,93,83,10
"Midsommar","2019","Horror","R",145,83,63,20
"Mike and Dave Need Wedding Dates","2016","Comedy","R",98,38,51,-13
"Mile 22","2018","Action & Adventure","R",95,23,44,-21
"Miles Ahead","2016","Drama","R",96,74,57,17
"Military Wives","2020","Comedy","PG-13",112,76,61,15
"Milk","2008","Drama","R",128,93,89,4
"Million Dollar Arm","2014","Comedy","PG",123,65,68,-3
"Million Dollar Baby","2004","Drama","PG-13",132,91,90,1
"Millions","2005","Comedy","PG",97,88,78,10
"Mindhunters","2005","Action & Adventure","R",106,24,57,-33
"Minions","2015","Animation","PG",91,55,49,6
"Minority Report","2002","Action & Adventure","PG-13",144,90,80,10
"Miracle","2004","Drama","PG",135,81,90,-9
"Miracle at St. Anna","2008","Drama","R",160,33,51,-18
"Miss Congeniality","2000","Action & Adventure","PG-13",105,41,69,-28
"Miss Congeniality 2 - Armed and Fabulous","2005","Comedy","PG-13",115,15,43,-28
"Miss Juneteenth","2020","Drama","NR",103,99,61,38
"Miss Pettigrew Lives for a Day","2008","Comedy","PG-13",92,78,71,7
"Miss Potter","2007","Drama","PG",92,67,68,-1
"Missing Link","2019","Action & Adventure","PG",94,89,67,22
"Mission to Mars","2000","Drama","PG",112,24,30,-6
"Mission: Impossible - Fallout","2018","Action & Adventure","PG-13",147,97,88,9
"Mission: Impossible 2","2000","Action & Adventure","PG-13",123,57,42,15
"Mission: Impossible Ghost Protocol","2011","Action & Adventure","PG-13",133,94,76,18
"Mission: Impossible III","2006","Action & Adventure","PG-13",126,71,69,2
"Mission: Impossible Rogue Nation","2015","Action & Adventure","PG-13",131,93,87,6
"Mississippi Grind","2015","Drama","R",108,91,55,36
"Moana","2016","Action & Adventure","PG",113,95,89,6
"Molly's Game","2018","Drama","R",141,81,84,-3
"Mom and Dad","2018","Comedy","R",123,75,39,36
"Mommy","2015","Drama","R",139,89,89,0
"Mona Lisa Smile","2003","Comedy","PG-13",117,34,60,-26
"Money Monster","2016","Drama","R",98,59,51,8
"Moneyball","2011","Drama","PG-13",133,94,86,8
"Monkeybone","2001","Animation","PG-13",92,19,27,-8
"Monsoon Wedding","2002","Comedy","R",100,95,87,8
"Monster","2004","Drama","R",109,81,81,0
"Monster House","2006","Action & Adventure","PG",91,75,63,12
"Monster's Ball","2002","Drama","R",111,85,67,18
"Monster-in-Law","2005","Comedy","PG-13",100,18,55,-37
"Monsters University","2013","Action & Adventure","G",102,80,81,-1
"Monsters vs. Aliens","2009","Action & Adventure","PG",94,73,59,14
"Monsters, Inc.","2001","Animation","G",92,96,90,6
"Moonlight Mile","2002","Drama","PG-13",117,63,66,-3
"Moonrise Kingdom","2012","Comedy","PG-13",94,94,86,8
"Morgan","2016","Drama","R",88,38,30,8
