"Title","Release Year","Genre","Content Rating","Runtime","Critic Rating","Audience Rating","Difference"
"Beasts of the Southern Wild","2012","Drama","PG-13",93,87,76,11
"Beauty Shop","2005","Comedy","PG-13",105,38,62,-24
"Because I Said So","2007","Comedy","PG-13",109,4,65,-61
"Because of Winn-Dixie","2005","Comedy","PG",105,55,63,-8
"Becoming Jane","2007","Drama","PG",120,58,74,-16
"Bedtime Stories","2008","Action & Adventure","PG",99,27,55,-28
"Bee Movie","2007","Animation","PG",91,50,53,-3
"Bee Season","2005","Drama","PG-13",105,43,35,8
"Beerfest","2006","Comedy","R",110,40,75,-35
"Before I Fall","2017","Drama","PG-13",100,65,56,9
"Before Midnight","2013","Drama","R",109,98,82,16
"Before Sunset","2004","Drama","R",80,95,91,4
"Before the Devil Knows You're Dead","2007","Drama","R",116,88,71,17
"Begin Again","2014","Comedy","R",104,83,81,2
"Beginners","2011","Comedy","R",105,85,77,8
"Behind Enemy Lines","2001","Action & Adventure","PG-13",106,37,62,-25
"Behind the Candelabra","2013","Drama","NR",118,95,71,24
"Being Julia","2004","Comedy","R",104,76,74,2
"Beirut","2018","Drama","R",109,82,56,26
"Belle","2014","Drama","PG",103,84,82,2
"Ben is Back","2018","Drama","R",103,81,70,11
"Bend It Like Beckham","2003","Comedy","PG-13",112,85,73,12
"Bernie","2012","Comedy","PG-13",104,88,73,15
"Best Of Enemies","2015","Documentary","R",88,93,85,8
"Best in Show","2000","Comedy","PG-13",90,94,89,5
"Better Luck Tomorrow","2002","Action & Adventure","R",101,81,79,2
"Bewitched","2005","Comedy","PG-13",100,25,28,-3
"Beyond Borders","2003","Action & Adventure","R",127,14,72,-58
"Beyond the Sea","2004","Drama","PG-13",121,42,64,-22
"Big Eyes","2014","Drama","PG-13",106,72,68,4
"Big Fish","2003","Comedy","PG-13",125,75,89,-14
"Big Hero 6","2014","Animation","PG",102,89,91,-2
"Big Miracle","2012","Action & Adventure","PG",107,75,64,11
"Big Trouble","2002","Comedy","PG-13",85,48,54,-6
"Bill & Ted Face the Music","2020","Action & Adventure","PG-13",91,82,72,10
"Billy Elliot","2000","Comedy","R",110,85,89,-4
"Billy Lynn's Long Halftime Walk","2016","Drama","R",108,44,41,3
"Bird Box","2018","Drama","R",124,63,57,6
"Birdman","2014","Comedy","R",119,91,77,14
"Birds of Prey (And the Fantabulous Emancipation of One Harley Quinn)","2020","Action & Adventure","R",109,78,78,0
"Birth","2004","Drama","R",100,38,43,-5
"Birthday Girl","2002","Comedy","R",93,58,39,19
"BlacKkKlansman","2018","Comedy","R",134,96,83,13
"Black Book","2007","Drama","R",144,75,87,-12
"Black Hawk Down","2001","Action & Adventure","R",144,76,88,-12
"Black Panther","2018","Action & Adventure","PG-13",134,96,79,17
"Black Sea","2015","Action & Adventure","R",115,80,59,21
"Black Snake Moan","2007","Drama","R",118,66,69,-3
"Black Swan","2010","Drama","R",108,85,84,1
"Black or White","2015","Drama","PG-13",121,38,65,-27
"Blackfish","2013","Documentary","PG-13",83,98,90,8
"Blackhat","2015","Action & Adventure","R",134,32,24,8
"Blade II","2002","Action & Adventure","R",116,57,68,-11
"Blade Runner 2049","2017","Action & Adventure","R",164,88,81,7
"Blade: Trinity","2004","Action & Adventure","R",114,26,59,-33
"Blades of Glory","2007","Comedy","PG-13",93,70,68,2
"Blair Witch","2016","Horror","R",89,37,31,6
"Bleed For This","2016","Drama","R",116,70,69,1
"Blended","2014","Comedy","PG-13",117,14,64,-50
"Bless the Child","2000","Drama","R",107,3,43,-40
"Blinded by the Light","2019","Comedy","PG-13",114,89,91,-2
"Blindness","2008","Drama","R",120,43,47,-4
"Blindspotting","2018","Comedy","R",95,94,87,7
"Blockers","2018","Comedy","R",102,84,50,34
"Blood Diamond","2006","Action & Adventure","R",138,63,90,-27
"Blood Work","2002","Action & Adventure","R",111,53,40,13
"Bloodshot","2020","Action & Adventure","PG-13",109,30,78,-48
"Bloody Sunday","2002","Drama","R",107,92,91,1
"Blow","2001","Drama","R",124,55,87,-32
"Blue Crush","2002","Action & Adventure","PG-13",104,61,58,3
"Blue Is The Warmest Color","2013","Drama","NC17",175,89,85,4
"Blue Jasmine","2013","Comedy","PG-13",98,91,77,14
"Blue Valentine","2010","Drama","R",120,87,77,10
"Blumhouse's Truth or Dare","2018","Horror","PG-13",100,16,22,-6
"Bobby","2006","Drama","R",119,47,72,-25
"Body of Lies","2008","Drama","R",128,55,62,-7
"Bohemian Rhapsody","2018","Drama","PG-13",135,60,85,-25
"Boiler Room","2000","Drama","R",120,66,78,-12
"Bolt","2008","Action & Adventure","PG",96,89,74,15
"Bombshell","2019","Drama","R",108,69,84,-15
"Book Club","2018","Comedy","PG-13",104,54,51,3
"Book of Shadows - Blair Witch 2","2000","Horror","R",90,14,18,-4
"Booksmart","2019","Comedy","R",102,96,77,19
"Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan","2006","Comedy","R",84,91,79,12
"Borg Vs. McEnroe","2018","Drama","R",108,84,74,10
"Born Into Brothels","2004","Documentary","R",85,95,91,4
"Bottle Shock","2008","Comedy","PG-13",110,48,58,-10
"Bounce","2000","Drama","PG-13",106,52,32,20
"Bowling for Columbine","2002","Documentary","R",120,95,83,12
"Boy Erased","2018","Drama","R",115,81,74,7
"Boyhood","2014","Drama","R",165,97,81,16
"Brad's Status","2017","Comedy","R",102,79,55,24
"Brave","2012","Animation","PG",93,78,75,3
"Breach","2007","Drama","PG-13",110,84,67,17
"Breakfast on Pluto","2005","Comedy","R",135,57,80,-23
"Breaking and Entering","2007","Drama","R",119,34,52,-18
"Breathe","2017","Drama","PG-13",117,67,71,-4
"Brick","2006","Action & Adventure","R",109,80,86,-6
"Brick Lane","2008","Drama","PG-13",101,68,60,8
"Bride Wars","2009","Comedy","PG",90,11,51,-40
"Bride and Prejudice","2005","Comedy","PG-13",110,64,70,-6
"Brideshead Revisited","2008","Drama","PG-13",134,62,52,10
"Bridesmaids","2011","Comedy","R",125,90,76,14
"Bridge of Spies","2015","Drama","PG-13",141,90,87,3
"Bridge to Terabithia","2007","Action & Adventure","PG",96,85,70,15
"Bridget Jones's Baby","2016","Comedy","R",122,78,65,13
"Bridget Jones's Diary","2001","Comedy","R",92,80,81,-1
"Bridget Jones: The Edge of Reason","2004","Comedy","R",106,27,60,-33
"Bright","2017","Drama","NR",117,28,83,-55
"Bright Star","2009","Drama","PG",119,83,68,15
"Bright Young Things","2004","Comedy","R",105,65,67,-2
